L2 HTML CSS Lesson 01: Practice Session (3186),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 01: Quiz (3176),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 02: In-class Assignment (3187),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 02: Practice Session (3188),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 02: Quiz (3179),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 03: In-class Assignment (3189),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 03: Practice Session (3190),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 03: Quiz (3182),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 04: In-class Assignment (3191),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 04: Practice Session (3192),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 04: Quiz (3178),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 05: In-class Assignment (3193),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 05: Practice Session (3194),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 06: In-class Assignment (3195),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 06: Practice Session (3196),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 07: In-class Assignment (3197),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 07: Practice Session (3198),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 08: In-class Assignment (3199),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 08: Practice Session (3200),PAP-2023-Summer-L2-3-G2,Practice,40
L2 HTML CSS Lesson 05: Quiz (3184),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 06: Quiz (3183),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 10: In-class Assignment (3203),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 10: Practice Session (3204),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 07: Quiz (3181),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 08: Quiz (3180),PAP-2023-Summer-L2-3-G2,Quiz,20
L2 HTML CSS Lesson 11: In-class Assignment (3205),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 12: In-class Assignment (3207),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 11: Practice Session (3206),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 12: Practice Session (3208),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 13: In-class Assignment 2 (3210),PAP-2023-Summer-L2-3-G2,Practice,50
L2 HTML CSS Lesson 13: In-class Assignment 1 (3209),PAP-2023-Summer-L2-3-G2,Practice,50
Tech Self Evaluation Survey (3213),PAP-2023-Summer-L2-3-G2,Practice,100
Student Project Presentation Slide Deck (3212),PAP-2023-Summer-L2-3-G2,Practice,25
L2 HTML CSS Lesson 14: Student Projects (3211),PAP-2023-Summer-L2-3-G2,Practice,75
Level Five -  Lesson 1 Part 2 Assignment (2843),PAP-2023-Summer-L5-6-G3,Practice,40
Level 5 - Lesson 2: Assignment 1 Style Property (2834),PAP-2023-Summer-L5-6-G3,Practice,50
Level 5 - Lesson 2: Assignment 2 DOM & Style - Firefly (2835),PAP-2023-Summer-L5-6-G3,Practice,50
Level 5 - Lesson 3: Assignment JS Objects - Dinosaurs (2836),PAP-2023-Summer-L5-6-G3,Practice,80
Level 5 - Lesson 4: Assignment Loop School (2837),PAP-2023-Summer-L5-6-G3,Practice,80
Your Profile for the DSFA website (2857),PAP-2023-Summer-L5-6-G3,Practice,100
Level 5 - Lesson 6: Assignment Form Validation (2838),PAP-2023-Summer-L5-6-G3,Practice,80
Level5 -Lesson 8 Assignment: Local Storage + Date & Time (2855),PAP-2023-Summer-L5-6-G3,Practice,80
Level5 -Lesson 9 Assignment: Browser APIs + Error Handling (2856),PAP-2023-Summer-L5-6-G3,Practice,80
Level Five - Lesson 6 Quiz (2823),PAP-2023-Summer-L5-6-G3,Quiz,20
Level Five - Lesson 8 Quiz (2824),PAP-2023-Summer-L5-6-G3,Quiz,20
Level 5 - Lesson 10: Assignment Fetch a Dog (2833),PAP-2023-Summer-L5-6-G3,Practice,80
Level Five - Lesson 10 Quiz (2815),PAP-2023-Summer-L5-6-G3,Quiz,20
Creating a Basic API (3214),PAP-2023-Summer-L5-6-G3,Practice,10
Iterating on the Basic API with MongoDB (3220),PAP-2023-Summer-L5-6-G3,Practice,10
Attaching Event Listeners in React (3249),PAP-2023-Summer-L5-6-G3,Practice,10
Using React States: Detectable Data Changes (3250),PAP-2023-Summer-L5-6-G3,Practice,10
Exit Tech Skills Self Evaluation (3273),PAP-2023-Summer-L5-6-G3,Practice,0
Node JS vs Browser JS Discussion (3167),PAP-2023-Summer-L5-6-G3,Practice,10
Level Five - Lesson 3: Quiz (2820),PAP-2023-Summer-L5-6-G3,Quiz,20
Install and Use Node.js Modules (3168),PAP-2023-Summer-L5-6-G3,Practice,10
Level Five - Lesson 1: Quiz (2814),PAP-2023-Summer-L5-6-G3,Quiz,25
Install and Use Express (3171),PAP-2023-Summer-L5-6-G3,Practice,10
Level Five - Lesson 1 Part 1 Assignment  (2844),PAP-2023-Summer-L5-6-G3,Practice,35
Debugging a Warehouse Inventory API (3172),PAP-2023-Summer-L5-6-G3,Practice,10
Debugging a Warehouse Inventory UI (3173),PAP-2023-Summer-L5-6-G3,Practice,10
Setting Up the MongoDB Atlas Database (3217),PAP-2023-Summer-L5-6-G3,Practice,10
Level Five - Lesson 4: Quiz (2827),PAP-2023-Summer-L5-6-G3,Quiz,20
Creating Your First React Project on GitHub Pages (3241),PAP-2023-Summer-L5-6-G3,Practice,10
Level Five - Lesson 5 Assignment: Functions Revisisted (2852),PAP-2023-Summer-L5-6-G3,Practice,80
Creating Your First React Component (3235),PAP-2023-Summer-L5-6-G3,Practice,10
Cumulative Quiz (3271),PAP-2023-Summer-L5-6-G3,Quiz,20
Level Five - Lesson 9: Quiz (2825),PAP-2023-Summer-L5-6-G3,Quiz,20
Level Five - Lesson 5: Quiz (2817),PAP-2023-Summer-L5-6-G3,Quiz,20
Assignment - End-of-course Tech Skills Self-evaluation (2829),PAP-2023-Summer-L5-6-G3,Practice,10
